name,team,position,fifa_code,group_name,api_football_id,balldontlie_id
MASUAKU Arthur,Congo DR,DEF,COD,,,
FOFANA Yahia,Côte D'Ivoire,GK,CIV,,,
DIOMANDE Ousmane,Côte D'Ivoire,DEF,CIV,,,
KONAN Ghislain,Côte D'Ivoire,DEF,CIV,,,
SERI Jean Michael,Côte D'Ivoire,MID,CIV,,,
SINGO Wilfried,Côte D'Ivoire,DEF,CIV,,,
FOFANA Seko,Côte D'Ivoire,MID,CIV,,,
KOSSOUNOU Odilon,Côte D'Ivoire,DEF,CIV,,,
KESSIE Franck,Côte D'Ivoire,MID,CIV,,,
BONNY Ange-Yoan,Côte D'Ivoire,FWD,CIV,,,
ADINGRA Simon,Côte D'Ivoire,FWD,CIV,,,
DIOMANDE Yan,Côte D'Ivoire,FWD,CIV,,,
WAHI Elye,Côte D'Ivoire,FWD,CIV,,,
OPERI Christopher,Côte D'Ivoire,DEF,CIV,,,
DIAKITE Oumar,Côte D'Ivoire,FWD,CIV,,,
DIALLO Amad,Côte D'Ivoire,FWD,CIV,,,
KONE Mohamed,Côte D'Ivoire,GK,CIV,,,
DOUE Guela,Côte D'Ivoire,DEF,CIV,,,
SANGARE Ibrahim,Côte D'Ivoire,MID,CIV,,,
PEPE Nicolas,Côte D'Ivoire,FWD,CIV,,,
AGBADOU Emmanuel,Côte D'Ivoire,DEF,CIV,,,
NDICKA Evan,Côte D'Ivoire,DEF,CIV,,,
GUESSAND Evann,Côte D'Ivoire,FWD,CIV,,,
LAFONT Alban,Côte D'Ivoire,GK,CIV,,,
TOURE Bazoumana,Côte D'Ivoire,FWD,CIV,,,
GUIAGON Parfait,Côte D'Ivoire,MID,CIV,,,
OULAI Christ Inao,Côte D'Ivoire,MID,CIV,,,
LIVAKOVIC Dominik,Croatia,GK,CRO,,,
STANISIC Josip,Croatia,DEF,CRO,,,
PONGRACIC Marin,Croatia,DEF,CRO,,,
GVARDIOL Josko,Croatia,DEF,CRO,,,
CALETA-CAR Duje,Croatia,DEF,CRO,,,
SUTALO Josip,Croatia,DEF,CRO,,,
MORO Nikola,Croatia,MID,CRO,,,
KOVACIC Mateo,Croatia,MID,CRO,,,
KRAMARIC Andrej,Croatia,FWD,CRO,,,
MODRIC Luka,Croatia,MID,CRO,,,
BUDIMIR Ante,Croatia,FWD,CRO,,,
PANDUR Ivor,Croatia,GK,CRO,,,
